Feature,Mean_Abs_SHAP
sensor_18,4718.814894361137
sensor_1,2143.1688195678357
sensor_19,1575.471356986952
op_setting_3,1575.4713543676412
sensor_8,596.3235423291895
sensor_6,468.0339301633383
sensor_12,415.2900589800389
sensor_7,278.0640395989929
sensor_2,170.48269986761002
sensor_13,108.6739872816494
sensor_5,106.19800164989255
op_setting_1,97.81436668871517
sensor_15,83.23219403670527
sensor_2_roll_mean_10,73.33323816909768
sensor_20,70.0099302031571
sensor_21,68.64497791685112
sensor_2_roll_std_10,64.03479636932741
sensor_7_roll_std_10,61.03467312279348
sensor_4,59.73650515115968
sensor_9,55.96686971913456
sensor_2_roll_mean_5,54.35556241110263
sensor_2_roll_std_20,51.96785783544681
op_setting_2,51.89798227388042
sensor_2_roll_mean_20,51.607837175727646
sensor_7_roll_std_20,48.30131262258009
sensor_2_roll_std_5,42.69356762846951
sensor_11_roll_mean_10,41.90936150430399
sensor_4_roll_mean_10,41.55270679068807
sensor_7_roll_std_5,38.835173129657456
sensor_4_roll_mean_20,38.205185785017584
sensor_11_roll_mean_20,32.3251545257204
sensor_4_roll_mean_5,31.227179648001893
sensor_11,28.80098149596888
sensor_7_roll_mean_10,28.511520315299656
sensor_17,24.184842185551137
sensor_11_roll_mean_5,23.603167476820126
sensor_7_roll_mean_20,21.3714809435855
sensor_7_roll_mean_5,19.35110567989646
sensor_14,15.723991308953158
sensor_3_roll_mean_10,14.224555316864112
cycle_norm,11.06370910994943
sensor_3,10.045637799820124
sensor_3_roll_mean_5,7.641893594028941
sensor_16,6.5021697763275705
sensor_11_roll_std_10,5.485696784590822
sensor_11_roll_std_20,5.343894666380374
sensor_11_roll_std_5,4.815633300691941
sensor_4_roll_std_5,4.305490803126438
sensor_4_roll_std_10,3.732273031672995
sensor_10,3.5202789242811323
sensor_3_roll_std_10,3.279481751288847
sensor_3_roll_mean_20,2.332718509669493
sensor_4_roll_std_20,2.281294472297423
sensor_3_roll_std_20,2.1861686179008735
sensor_3_roll_std_5,1.8398277360835458
